行业,correlation
61,0.30351698892131407
21,0.28100374012182355
52,0.21528549562603294
22,0.21169858033944547
96,0.20879977918422754
81,0.20496097904300384
65,0.20224596676426837
62,0.19051304631270516
98,0.16298558540299374
45,0.14496170061850278
30,0.13885175027868188
37,0.12027622065854869
66,0.10433009481172582
97,0.10004720286757854
18,0.09950852637445823
64,0.0943849853807832
89,0.07456113851020313
41,0.059003141092573985
75,0.04786125219015396
17,0.04236604254880669
1,0.03055626720278729
31,0.02914867719661343
20,0.015379486050358458
69,0.012537108334521398
26,0.00850130760922659
38,0.00823053966054068
93,-0.0019636967844108067
39,-0.006216554017285372
34,-0.011065837516888732
83,-0.013799009588265895
82,-0.033316146111142475
73,-0.04531562426180065
9,-0.04556501813372167
80,-0.04702491358952691
78,-0.06270208672360361
24,-0.06695739516543113
95,-0.07876299472242324
87,-0.08008991053021086
84,-0.08814876268334525
7,-0.09038849691427761
2,-0.1026464863521058
16,-0.11411880070142084
57,-0.11950783713479543
3,-0.12483433337676544
70,-0.13517532941421057
68,-0.1356734003794168
43,-0.14356007471530438
92,-0.14786967241414906
50,-0.16260680719835682
74,-0.16404543130918497
55,-0.169546219264633
72,-0.177264274811692
91,-0.204419865357011
88,-0.22249017003142768
60,-0.22359401155521888
29,-0.24484299504184226
5,-0.2489881584485606
79,-0.24948582269080732
40,-0.2582776065882524
76,-0.2791850312711841
10,-0.3307299379204156
