省份,correlation
15,0.2331459390529345
52,0.10630554126947295
32,0.07567725096105768
23,0.0731435462099099
65,0.07060358568457943
34,0.05244498306869005
43,0.04942915535190934
36,0.044385694286045274
13,0.041751598448521415
64,0.04123614750003274
45,0.02940632982438525
31,0.029084588512965272
35,0.02732518550403433
53,0.024106156751167757
62,0.022882847143841194
41,0.019656775235849484
37,0.010271284565263512
46,0.006918439296269684
61,-0.00416808894376204
51,-0.006514503177469888
14,-0.020296164841355668
50,-0.033146081199923794
33,-0.0405508659423206
12,-0.04159097011559944
44,-0.04281296410308118
42,-0.06537831477624745
21,-0.07908840378831979
11,-0.08849545164393187
54,-0.09328372133438288
22,-0.13307921012123797
63,-0.20821197546867687
